"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Trim30a",1.07115086046596e-05,0.946316585304718,1,0.5,0.261210848833229
"Rpl27a",1.11909403206599e-05,-0.304813649974752,1,1,0.272902270659612
"Ogt",1.14164974385251e-05,-0.40837825421901,1,1,0.278402706535874
"Hmgn2",1.15719721115893e-05,0.512824650015255,1,1,0.282194111913218
"E2f8",1.17838208040988e-05,0.30104303033984,1,0.75,0.287360254128753
"Rplp1",1.19082411311474e-05,-0.276409229141742,1,1,0.290394368224162
"Rad51ap1",1.24172721335999e-05,0.373989388364629,1,1,0.302807598249967
"Cenph",1.24593457057449e-05,0.417636517008099,1,1,0.303833604380296
"Ccl5",1.26035034890346e-05,2.44161611856459,1,0.5,0.307349036083598
"Rpl26",1.26624880196734e-05,-0.321963796982629,1,1,0.308787432847756
"Chmp4b",1.2850898582881e-05,0.60964415023496,1,1,0.313382012842137
"Khdrbs3",1.30957960691085e-05,-0.379036254285275,1,1,0.319354082941281
"Rps19",1.32108118378218e-05,-0.27501919604295,1,1,0.322158857477122
"Cox7c",1.34667150272687e-05,-0.564266414364919,1,1,0.328399312654976
"Srsf5",1.36080588855289e-05,-0.397958965785142,1,1,0.331846123982507
"Rplp2",1.39784701716322e-05,-0.321362804727391,1,1,0.340878973605422
"Atp6v0d1",1.40439494127245e-05,-0.480459649209304,1,1,0.342475750378699
"Dusp6",1.40599255333353e-05,0.585380035704557,1,1,0.342865344055916
"Mrpl41",1.48397919093444e-05,-0.354806353065775,1,1,0.361883165501272
"Pawr",1.4853648135403e-05,0.47964661846531,1,1,0.362221063429937
