"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.42018123594532e-159,1.54626010934812,0.986,0.452,5.90185396197626e-155,"0","Cystm1"
2.6456889853283e-159,1.91760655198193,0.95,0.298,6.45177715962158e-155,"0","Nrxn1"
3.11403887361814e-159,2.23419047779013,0.83,0.187,7.59389519720519e-155,"0","Cnga4"
1.63733678745388e-157,2.53247472716689,0.784,0.166,3.99280948988503e-153,"0","Ephx4"
5.91120294314044e-157,1.93872522119767,0.902,0.246,1.44150594971423e-152,"0","Trnp1"
7.34029652796828e-157,1.49328873328223,1,0.602,1.79000471131034e-152,"0","Map1b"
8.4692475575909e-157,2.01209415306119,0.86,0.204,2.06531070939412e-152,"0","Kcnc4"
1.23489702973997e-156,1.62088698992898,0.992,0.389,3.01141989672389e-152,"0","Ncam1"
1.55974746673608e-156,1.91928675290538,0.914,0.243,3.80360017238261e-152,"0","Ak1"
4.78542713704742e-156,1.54617190615695,0.972,0.425,1.16697426164038e-151,"0","Mgst3"
1.93838651703619e-155,1.69593083417721,0.934,0.284,4.72694936044445e-151,"0","Tesc"
6.96697773377955e-154,1.76934446500412,0.954,0.347,1.69896719015948e-149,"0","Cfap36"
8.99016872434649e-154,2.3637218007078,0.805,0.191,2.19234254511914e-149,"0","Pkia"
5.72994735276747e-153,2.5383408375814,0.796,0.158,1.39730496144588e-148,"0","A730046J19Rik"
2.0006780021019e-152,1.52100215415534,0.997,0.574,4.8788533759257e-148,"0","Tshz2"
7.12213283980173e-152,2.29332934894353,0.813,0.192,1.73680331431405e-147,"0","Cacnb3"
8.80390992051171e-152,2.30650214475411,0.791,0.174,2.14692147321599e-147,"0","Slc1a2"
2.61727851602998e-151,1.56779260971016,0.911,0.247,6.38249538919072e-147,"0","Lhx2"
6.02396029829431e-151,1.9916083416798,0.871,0.262,1.46900295834205e-146,"0","Ip6k2"
8.3857433376718e-151,2.14342973440212,0.787,0.197,2.04494737032465e-146,"0","Ppp1r1a"
1.10707458112606e-150,3.21520409638123,0.706,0.109,2.69971207353402e-146,"0","B830017H08Rik"
3.06317904464655e-150,2.09519038275926,0.857,0.212,7.46986841827506e-146,"0","Fam92b"
2.00814382950013e-149,2.02584281226542,0.851,0.217,4.89705954261902e-145,"0","Mapk8ip2"
2.54494924100599e-148,1.86720207015679,0.876,0.229,6.2061132191172e-144,"0","Uncx"
1.64159983238134e-147,1.81348659603554,0.901,0.253,4.00320535124512e-143,"0","Ebf3"
1.11689144369991e-146,1.83592760637032,0.851,0.277,2.7236514746066e-142,"0","Mycbp"
1.52272164657572e-146,1.74959612134035,0.899,0.246,3.71330900733954e-142,"0","Stmn3"
2.00098472024114e-146,2.07110938967589,0.822,0.201,4.87960133878005e-142,"0","Rtp2"
2.36425603446172e-146,1.79157803561446,0.88,0.269,5.76547476563834e-142,"0","Homer2"
1.64141691181633e-145,1.83233901899138,0.892,0.309,4.0027592811553e-141,"0","Abhd16a"
7.04758952355226e-145,1.66285977116344,0.949,0.272,1.71862518121345e-140,"0","Ebf2"
1.0400766812316e-144,2.09357658459696,0.828,0.196,2.53633099485138e-140,"0","Fam131c"
3.94281300813507e-144,1.6954407379142,0.894,0.313,9.61494380163818e-140,"0","Ift43"
4.12796040165582e-144,1.75698195567765,0.917,0.272,1.00664442354779e-139,"0","Syt11"
8.21081881284005e-144,2.00978980801745,0.812,0.201,2.00229027569917e-139,"0","Carns1"
9.3919872414305e-144,1.8917041429935,0.875,0.22,2.29033000869524e-139,"0","Faim2"
9.83953995165888e-144,1.89120750517163,0.848,0.249,2.39947021261154e-139,"0","Eml2"
9.94382837195854e-144,2.14709191001908,0.786,0.188,2.42490198678581e-139,"0","Pex5l"
1.31050212410279e-143,2.00345684162018,0.831,0.203,3.19579047983707e-139,"0","Eef1a2"
3.52255702709053e-143,2.13930141365137,0.782,0.202,8.59010756626296e-139,"0","Fam13a"
1.02602502847457e-142,1.82446946026926,0.852,0.234,2.50206463443808e-138,"0","Mlf1"
1.62794193391617e-142,2.13260524736183,0.795,0.189,3.96989920004797e-138,"0","Clstn2"
3.61988239161054e-142,2.00048899817606,0.875,0.225,8.82744520018147e-138,"0","Lrriq1"
5.69040319602709e-141,1.52770592246953,0.917,0.397,1.38766172338317e-136,"0","Tspan3"
8.27317415085611e-141,2.12400167053855,0.812,0.192,2.01749624842777e-136,"0","Cngb1"
2.02507883779309e-140,1.74870293853182,0.841,0.226,4.93835725384222e-136,"0","Myt1l"
3.10621598308849e-140,1.88188021884725,0.823,0.279,7.57481829635959e-136,"0","Hjurp"
3.91428129043042e-140,1.85343676252101,0.887,0.237,9.54536635484363e-136,"0","Pde4a"
5.60710744414371e-140,1.26477440755022,0.998,0.59,1.36734922132889e-135,"0","Ckb"
4.42418588010013e-137,2.24448910150173,0.749,0.167,1.07888196872122e-132,"0","Gadl1"
2.03639945223544e-136,2.07157679033885,0.784,0.211,4.96596370422133e-132,"0","Rnf128"
2.73590962034528e-136,2.25079699377292,0.792,0.19,6.67178920017401e-132,"0","Tarsl2"
1.21969286144993e-135,2.41597710149992,0.758,0.169,2.9743430119318e-131,"0","Celf4"
