"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Sem1",1.79932195606835e-06,-0.564223879803762,1,1,0.0438782652206829
"Mdh1",1.83184962055932e-06,-0.698559108283152,1,1,0.0446714848469595
"AY036118",1.92960302616488e-06,1.49101910503907,1,1,0.0470552993960567
"Smpdl3a",1.93112086835317e-06,-0.776763155901735,1,1,0.0470923134956603
"Hsp90b1",1.98656181119017e-06,-0.195679601736463,1,1,0.0484442963276836
"Stk17b",2.12795253297553e-06,-0.700049919353473,1,1,0.0518922504691413
"Cd9",2.13046367820251e-06,-0.850308733199372,1,1,0.0519534872566464
"Eef1d",2.17352158082312e-06,-0.857819760828112,1,1,0.0530034972699526
"Cd209d",2.20863653404391e-06,-1.32938568086537,0.75,1,0.0538598105191948
"Parp10",2.3262188902549e-06,1.80579105070123,1,1,0.0567271738577561
"Nr1h3",2.34136407426221e-06,0.838245379550004,0.75,0.667,0.0570965043149583
"Rpl35a",2.46500906341655e-06,-1.38021427186872,1,1,0.0601117110204759
"Rabac1",2.53946211013788e-06,-0.805360595772471,1,1,0.0619273230178223
"Gpi1",2.59590446856274e-06,-1.15972536258965,0.75,1,0.0633037263703709
"Irgm2",2.64850873349003e-06,0.871674981108731,0.75,1,0.064586533974888
"Klk1",2.6651464130209e-06,1.03588303241288,0.75,1,0.0649922604279277
"Cox7c",2.67878250180016e-06,-0.995050514356569,1,1,0.0653247900888987
"Sgcb",2.68667640727029e-06,1.83318954846209,1,1,0.0655172908676933
"Nucks1",2.74288255137662e-06,-1.18928318711719,0.75,1,0.0668879338978704
"Ndufa3",2.84459977423319e-06,-0.772570617728106,1,1,0.0693684100944507
"Rpl37a",2.85272084426076e-06,-1.4770485270256,1,1,0.0695664505081429
"mt-Nd5",2.86118469696803e-06,-0.0567681909423916,1,1,0.0697728500202623
"Stoml3",2.93559963827186e-06,-0.430567934945832,1,1,0.0715875327788975
"Mbnl1",2.97920631384507e-06,-0.364147147590875,1,1,0.0726509251694259
"Rnf34",2.99940862574831e-06,2.152142368525,1,1,0.0731435787474982
"Grcc10",3.02095036268064e-06,-1.14024814951605,0.75,1,0.07366889554433
"Ptafr",3.05931141427711e-06,1.38754417760826,1,1,0.0746043681485617
"Ifi203",3.0886417679086e-06,2.32846912657941,1,1,0.075319618152219
"Pid1",3.22823512205727e-06,-1.15923439142996,0.75,1,0.0787237416864886
"Uqcrb",3.40174325062503e-06,-0.868104592980926,1,1,0.082954910909742
"Zfp706",3.4102277008687e-06,-0.771827211249768,1,1,0.0831618127133841
"Frmd4a",3.47865654912629e-06,1.20565645215266,1,1,0.0848305186069936
"Serbp1",3.5356470279189e-06,-0.58528869654635,1,1,0.0862202884228304
"Lilrb4a",3.56069325910395e-06,1.33282108617252,1,1,0.086831065816509
"Inhba",3.72869949049873e-06,0.514998365675636,0.75,0,0.090928065775302
"Gbp5",3.96048358556492e-06,3.58356588621913,1,1,0.0965803527175862
"Rpl30",3.98676564079753e-06,-1.3058352492174,1,1,0.0972212669164885
"Usp25",4.08087365713053e-06,1.68882767078647,1,1,0.0995161850027851
"Tgtp2",4.24271713994541e-06,0.777700207477853,0.75,0.333,0.103462900174709
"Ube2s",4.29432972064022e-06,-0.782872385472561,1,1,0.104721524567532
"Clic4",4.3399229141137e-06,2.03841693683654,1,1,0.105833360183577
"Ywhaz",4.50874904045122e-06,-0.614734212367823,1,1,0.109950354100443
"Clec4b1",4.51325219676851e-06,-1.29609550478006,0.75,1,0.110060168070397
"Slc25a22",4.69364111856322e-06,1.50948727784813,1,0.667,0.114459132317283
"1600014C10Rik",4.73756446215142e-06,0.996503235909017,0.75,1,0.115530246974025
"Tor3a",4.81253728562918e-06,2.89182656873395,1,1,0.117358534247353
"Nlrc5",4.92266818707619e-06,1.47251144037768,1,1,0.12004418641004
"Sppl2a",5.04514596735271e-06,2.24737646945711,1,1,0.123030929559863
"Rps15",5.06709059943163e-06,-1.00588521289382,1,1,0.12356607135774
"Hnrnpa2b1",5.1815921348656e-06,-0.38952473301593,1,1,0.126358305800832
"Klrd1",5.30641102565074e-06,-1.19699697473381,0.75,1,0.129402139271519
"Gdi2",5.50798671723359e-06,-0.129232265099401,1,1,0.134317764086458
"Ms4a4b",5.67317897624637e-06,2.69079061451358,1,1,0.138346142514744
"Ndufb4",6.10010217791044e-06,-1.13826913018879,0.75,1,0.148757091710524
"Cct2",6.2512839627019e-06,-0.302213624916914,1,1,0.152443810714449
"Map1b",6.31819894267925e-06,-0.433028162771966,1,1,0.154075599416176
"Trim34a",6.4185013965169e-06,1.98418276535556,1,1,0.156521575055461
"Atp5j",7.07274425141068e-06,-0.875366286531101,1,1,0.172475941314901
"Rpl36al",7.35203092423663e-06,-0.949332757595172,1,1,0.179286626118435
"Lilr4b",7.44444938529701e-06,1.05552363139407,0.75,1,0.181540342709853
"mt-Nd1",7.47339523388986e-06,-0.206862258303603,1,1,0.182246216173638
"Atp5k",7.50781681594915e-06,-1.17367162574678,0.75,1,0.183085620873736
"Top2b",7.64289817709885e-06,-1.14654204980213,0.75,1,0.186379714946732
"Lsm6",8.16757095657887e-06,-0.64408783916847,1,1,0.199174385347132
"Axl",8.24330134159072e-06,1.72569916991729,1,1,0.201021146516031
"Gm47242",8.31831673856106e-06,0.981717049448779,1,0,0.20285047198655
"Jund",8.40575379239002e-06,-0.613351323110674,1,1,0.204982711981223
"Chmp4b",8.44594313327688e-06,1.30486598035452,1,1,0.20596276924809
"Mpc2",9.44492192952911e-06,-0.68802033961279,1,1,0.230323866173497
"Atp1a1",9.77606460829014e-06,-0.274334519386245,1,1,0.238399111537763
"Rps11",9.87390741652555e-06,-1.29187654016413,1,1,0.240785106259392
"Ddx5",9.99161724949476e-06,-0.303889229313694,1,1,0.243655578246179
"Ccdc86",1.02384903451564e-05,1.12577297707287,1,1,0.249675825556984
"Tm6sf1",1.03398490832011e-05,-0.634448639961367,1,1,0.252147559742941
"Kif5b",1.07770433229277e-05,-0.357553811577727,1,1,0.262808978472916
"Rpl23a",1.1068659129907e-05,-0.927812596183629,1,1,0.269920321541911
"Ccl2",1.12494571944708e-05,1.69699833341349,1,1,0.274329263144365
"Wfdc18",1.15634779083689e-05,-1.2170588881404,0.75,1,0.281986972273484
"Rack1",1.16828815655929e-05,-1.16346572834073,1,1,0.284898749858547
