"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Chchd10",2.23778376925817e-21,-0.257877281224252,1,1,5.45705949971296e-17
"Nxnl2",2.34178328719249e-21,-0.586141064335708,1,1,5.71067272414761e-17
"Rplp1",2.39709186337675e-21,-0.233048536243782,1,1,5.84554821803053e-17
"Rps20",2.54354194620786e-21,-0.347683332041658,1,1,6.20268139002249e-17
"Nqo1",2.63338126880131e-21,-0.613108074140281,1,1,6.42176356209888e-17
"Gpr162",2.65667037128481e-21,1.04443728782755,1,1,6.47855636741514e-17
"Rps8",2.75060064001451e-21,-0.269486785461579,1,1,6.70761472073939e-17
"Rps27a",2.79190287603739e-21,-0.261347486100361,1,1,6.80833435350478e-17
"Cnbp",2.84597482025512e-21,-0.334944910969546,1,1,6.94019419667413e-17
"Tubb3",2.89220865522183e-21,-0.432311465658336,1,1,7.05294002662396e-17
"Cstb",4.58515668063452e-21,-0.515534174504896,1,1,1.11813630813953e-16
"Ndufa5",5.73447070115666e-21,-0.321628407543755,1,1,1.39840802518406e-16
"Ran",6.5301018800217e-21,-0.442101742502276,1,1,1.59243064446209e-16
"Rpl10a",6.60921324866534e-21,-0.403106765435891,1,1,1.61172274281953e-16
"Rsrp1",7.03134305273334e-21,-0.377608363069713,1,1,1.71466331683955e-16
"Hsp90b1",1.32490283269812e-20,-0.340721230745144,1,1,3.23090804781765e-16
"Ppp1r14b",1.34194627065568e-20,-0.304255547959973,1,1,3.27247017562093e-16
"Rexo2",1.40053195220969e-20,-0.387446167083,1,1,3.41533721865854e-16
"Ndufa2",1.44533735204037e-20,-0.294358566495079,1,1,3.52459966668565e-16
"Chmp2a",1.71739049348233e-20,-0.401146009976261,1,1,4.18802845740601e-16
"Bri3",1.78061637527467e-20,-0.510364275149389,1,1,4.34221109274481e-16
"Eif4a2",2.1660051880591e-20,-0.303833981206779,1,1,5.28202025160093e-16
"Col1a1",2.40115091576936e-20,1.614957775431,1,0,5.85544662319517e-16
"Arf1",2.75052031504121e-20,-0.427702125709858,1,1,6.70741884025949e-16
"Rpl24",3.10374858108552e-20,-0.229832184890752,1,1,7.56880128983515e-16
"Ndufb7",3.74022169786583e-20,-0.452987775301268,1,1,9.12090463241561e-16
"Dad1",4.10770061803592e-20,-0.498973380369769,1,1,1.00170387271424e-15
"Ranbp1",4.52515152933065e-20,-0.465533889772788,1,1,1.10350345194257e-15
"Ldhb",5.44910673422219e-20,-0.327632100445183,1,1,1.32881916820742e-15
"Lamp1",5.95617539027671e-20,-0.369083721787721,1,1,1.45247293067288e-15
"Cct2",6.9246776022359e-20,-0.413348194920749,1,1,1.68865188008125e-15
"Arl3",7.26029501448614e-20,-0.240135992316154,1,1,1.77049554223259e-15
"Nfkbia",9.57443582893926e-20,-0.717203387279372,1,1,2.33482192124513e-15
"Rps6",1.00633161653598e-19,-0.299531412278443,1,1,2.45404028008465e-15
"Rplp2",1.22452141354999e-19,-0.275461680308997,1,1,2.98611791908299e-15
"Rpl5",1.29515507633324e-19,-0.332586416175297,1,1,3.15836516914625e-15
"Trir",1.30699804001546e-19,-0.353434038515585,1,1,3.1872454203817e-15
"Hmgb1",1.36295222188831e-19,-0.26387997499506,1,1,3.32369528829682e-15
"Fth1",1.39419798767752e-19,-0.192697887157491,1,1,3.39989121275039e-15
"Rpl14",1.497574258854e-19,-0.354910420613479,1,1,3.65198458764136e-15
"Rtraf",1.5670510654729e-19,-0.462552222211028,1,1,3.82141072826221e-15
"Gpx4",1.86032872498232e-19,-0.244012739708976,1,1,4.53659762874188e-15
"Rpl12",2.28067688693887e-19,-0.362896953006856,1,1,5.56165865648913e-15
"Cct4",2.41603260804934e-19,-0.527151457737436,1,1,5.89173711798913e-15
"Higd2a",2.52912008995509e-19,-0.404046142334019,1,1,6.16751225136448e-15
"Atf4",2.5600827426195e-19,-0.447470796071423,1,1,6.24301777615191e-15
"Sec62",2.74091911569794e-19,-0.389447904868461,1,1,6.684005355541e-15
"Ndufa12",2.75278439599413e-19,-0.404742205676341,1,1,6.71294002807129e-15
"Kirrel2",2.86110959432082e-19,-0.458047872903758,1,1,6.97710185671076e-15
"Smdt1",2.93349124551499e-19,-0.357563701648046,1,1,7.15361175131285e-15
"Stmn3",4.0454335524831e-19,-0.269269843459649,1,1,9.86519426108528e-15
"Psmd8",4.89806133556565e-19,-0.506227067605177,1,1,1.19444123729104e-14
"Ssb",5.23068939112192e-19,-0.275472299847995,1,1,1.27555591491899e-14
"Nudc",5.66110032357362e-19,-0.271100158332116,1,1,1.38051592490666e-14
"Polr2k",6.23334327645636e-19,-0.445565083230712,1,1,1.52006309139665e-14
"Rack1",6.81437264916806e-19,-0.432708094386477,1,1,1.66175291422612e-14
"Rps23",7.64569332937007e-19,-0.293796663630143,1,1,1.86447877530019e-14
"Eloc",8.42123687137786e-19,-0.39077438979611,1,1,2.05360282345421e-14
"Rsph9",8.86107165188836e-19,-0.316278923646362,1,1,2.16086093302949e-14
"Spcs1",9.56243093217681e-19,-0.38992007229248,1,1,2.33189440712064e-14
"Rps27",1.11877614140235e-18,-0.253956174041238,1,1,2.72824749842376e-14
"Ndufb9",1.20347077847921e-18,-0.316265163947786,1,1,2.93478384039939e-14
"Rab28",1.28431788955583e-18,-0.314364118801269,1,1,3.13193760547086e-14
"Rpl8",1.29408989930921e-18,-0.274470042577052,1,1,3.15576762845543e-14
"Manf",1.50526190779252e-18,-0.578334268199692,1,1,3.67073168834284e-14
"Tomm22",1.5575703646803e-18,-0.541868831277929,1,1,3.79829109130937e-14
